,precision,recall,f1-score,support
0,0.9938775510204082,0.9938775510204082,0.9938775510204082,980.0
1,0.9929762949956101,0.9964757709251101,0.9947229551451188,1135.0
2,0.9874638379942141,0.9922480620155039,0.9898501691638473,1032.0
3,0.9891625615763546,0.994059405940594,0.9916049382716049,1010.0
4,0.9928789420142421,0.9938900203665988,0.9933842239185751,982.0
5,0.9932584269662922,0.9910313901345291,0.9921436588103255,892.0
6,0.9968487394957983,0.9906054279749478,0.993717277486911,958.0
7,0.988394584139265,0.9941634241245136,0.991270611057226,1028.0
8,0.995850622406639,0.9856262833675564,0.9907120743034056,974.0
9,0.9910536779324056,0.9881070366699702,0.9895781637717121,1009.0
accuracy,0.9921,0.9921,0.9921,0.9921
macro avg,0.992176523854123,0.9920084372539731,0.9920861622949134,10000.0
weighted avg,0.9921120992924085,0.9921,0.9920997635484436,10000.0
